"","lote_id","finca_id","lat","lng","area","pbc","sem","c_year","mean_pbc"
"102",324,38,7.826814835,-76.676203855,5.5,1847.2,"25","2017",5762.12705511811
"103",329,38,7.82693637,-76.672071415,3.44,2613,"25","2017",4672.26050592885
"104",331,38,7.82511295,-76.6723967,4.11,2231.2,"25","2017",4591.29373913043
"105",332,38,7.824124885,-76.67244792,3.73,2322.1,"25","2017",4405.72734645669
"106",333,38,7.823317505,-76.672464485,3.83,3464.3,"25","2017",4698.9271015625
"107",334,38,7.822418355,-76.672550295,4.38,3449.9,"25","2017",5590.80395330739
"108",336,38,7.820652285,-76.6725472,4.5,4474.3,"25","2017",5230.9283515625
"109",338,38,7.818848935,-76.672451705,4.28,2684,"25","2017",4759.11676078431
"110",339,38,7.8178923,-76.672484575,4.14,2115.1,"25","2017",4555.78028235294
"111",340,38,7.81683486,-76.672147185,4.38,3761.8,"25","2017",4550.14014624506
"112",341,38,7.815827985,-76.67207635,3.3,2036.3,"25","2017",3222.11573705179
"113",342,38,7.81590973,-76.66830477,5,1998.2,"25","2017",4886.11803162055
"114",343,38,7.8169521,-76.66836812,4.56,1861.4,"25","2017",5397.86624313725
"115",344,38,7.817919215,-76.668399185,4.49,2696.7,"25","2017",5915.78949606299
"116",345,38,7.818813585,-76.66843308,4.44,4911.2,"25","2017",6163.11263241107
"117",346,38,7.81974511,-76.668477195,4.42,2966.2,"25","2017",6027.41710671937
"118",347,38,7.820627295,-76.668477985,4.4,4500,"25","2017",5941.49885882353
"119",348,38,7.82153502,-76.66846601,4.42,663,"25","2017",5084.11575590551
"120",349,38,7.82243804,-76.668429925,4.6,2799.9,"25","2017",6002.29334509804
"121",350,38,7.82334531,-76.66843975,4.57,2313.7,"25","2017",6054.68290234375
"122",351,38,7.824263825,-76.668478375,4.49,2139,"25","2017",6138.0930076
"123",352,38,7.825148535,-76.6684989,4.47,3904.9,"25","2017",6335.119648
"124",353,38,7.82607264,-76.668344505,4.82,2507.4,"25","2017",6800.06316929134
"125",355,38,7.828214785,-76.66864419,3.37,1151.7,"25","2017",3815.74000404858
"126",356,38,7.81826079,-76.6764344,7.26,3445.8,"25","2017",6969.47649765258
"127",357,38,7.816892485,-76.676729925,5.57,3185.6,"25","2017",5533.58416071429
"128",360,38,7.815320455,-76.674958895,2.71,1846,"25","2017",2774.09753363229
"129",362,38,7.813305325,-76.6758995,5.73,3639.8,"25","2017",5435.1905254902
"130",363,38,7.81239209,-76.676165315,6.24,1296.7,"25","2017",6025.44376744186
"131",364,38,7.811515475,-76.675950225,5.87,1635.4,"25","2017",6884.31575892857
"132",365,38,7.81059859,-76.675841375,5.44,1178.4,"25","2017",5813.77386666667
"133",366,38,7.80960108,-76.674859805,2.73,501.4,"25","2017",2427.91421198157
"134",367,38,7.81325106,-76.67966995,1.77,1988.5,"25","2017",1669.56720192308
"135",368,38,7.814106415,-76.68038599,3.32,566.1,"25","2017",3063.4412
"136",369,38,7.81502253,-76.680797735,4.2,3210.1,"25","2017",3970.5148503937
"137",373,38,7.81863781,-76.6807735,3.94,1989.4,"25","2017",4509.34105882353
"138",374,38,7.819628195,-76.68231706,4.53,1200.7,"25","2017",5045.81202390438
"139",73,27,7.76589081,-76.7645209,7.51,608.2,"26","2017",7304.53960909091
"140",94,28,7.78092338,-76.773413915,8.22,146,"26","2017",7781.704488
"141",211,32,8.014367612,-76.69994172,2.42,693.4,"26","2017",3937.95729184549
"142",212,32,8.014965043,-76.70054381,3.09,995.35,"26","2017",4850.11049785408
"143",317,38,7.82103878,-76.678667185,9.07,2525.7,"26","2017",8517.04891015625
"144",320,38,7.823792005,-76.6800986,3.91,2311.6,"26","2017",3341.0195511811
"145",321,38,7.82499812,-76.68064996,2.92,2427,"26","2017",2446.79708433735
"146",325,38,7.82771672,-76.676104415,5.22,2119,"26","2017",5578.59933333333
"147",326,38,7.828813955,-76.675837175,3.06,744.9,"26","2017",2543.08746774194
