lote_id,finca_id,lat,lng,area,pbc,sem,c_year,pbc_ha,sum_pbc_ha,mean_pbc_a,id,id_altitud_ele,id_altitud_desc
2301,143,8.00511033,-76.69076763,6.601,4633.95,22,2020,702.007271625511,34728.445690047,37049.3066707065,1359,11.1,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1359</td></tr></table>"
2302,143,8.005287895,-76.68987729,6.373,9097.23,22,2020,1427.46430252628,38391.5298917307,39413.9798106596,1360,11.9,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1360</td></tr></table>"
2303,143,8.0054634,-76.68898752,6.287,7211.87,22,2020,1147.10831875298,36052.9330364244,40628.5462064578,1361,11.7,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1361</td></tr></table>"
2304,143,8.00566091,-76.68823705,5.547,5775.27,22,2020,1041.15197404002,16752.9259058951,39832.0713899405,1362,12.3,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1362</td></tr></table>"
2311,143,7.99996388,-76.69337672,3.111,3219.37,22,2020,1034.83445837351,33540.9128897461,35687.4788385299,1363,12.8,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1363</td></tr></table>"
2605,159,7.955105,-76.671541,1.11,2249.94,22,2020,2026.97297297297,50508.2972972973,56297.3003003003,1364,13.9,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1364</td></tr></table>"
2606,159,7.955105,-76.671541,1,1235.39,22,2020,1235.39,25675.79,20435.0166666667,1365,13.9,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1365</td></tr></table>"
2607,159,7.955105,-76.671541,2.07,2092.36,22,2020,1010.80193236715,33564.5458937198,32198.4460547504,1366,13.9,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1366</td></tr></table>"
2608,159,7.955105,-76.671541,4.33,4154.32,22,2020,959.427251732102,30977.3187066975,24276.0053887606,1367,13.9,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1367</td></tr></table>"
2609,159,7.955105,-76.671541,3.6,3348.07,22,2020,930.019444444445,34374.7611111111,20981.8509259259,1368,13.9,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1368</td></tr></table>"
2610,159,7.955105,-76.671541,4.13,5075.53,22,2020,1228.94188861985,35625.5133171913,19959.9031476998,1369,13.9,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1369</td></tr></table>"
2611,159,7.955105,-76.671541,4.79,13326.77,22,2020,2782.20668058455,31913.9081419624,34413.5414057063,1370,13.9,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1370</td></tr></table>"
2612,159,7.955105,-76.671541,4.77,3044.78,22,2020,638.318658280922,34976.4800838574,36864.2117400419,1371,13.9,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1371</td></tr></table>"
2613,159,7.955105,-76.671541,4.36,3639.75,22,2020,834.80504587156,33268,35746.3983180428,1372,13.9,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1372</td></tr></table>"
2614,159,7.955105,-76.671541,5.13,5726.51,22,2020,1116.27875243665,30877.7992202729,33393.7115009747,1373,13.9,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1373</td></tr></table>"
2615,159,7.955105,-76.671541,5.3,4575.87,22,2020,863.371698113208,29489.9226415094,29930.2628930818,1374,13.9,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1374</td></tr></table>"
2616,159,7.955105,-76.671541,4.63,4341.2,22,2020,937.624190064795,28301.6025917927,30694.6976241901,1375,13.9,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1375</td></tr></table>"
2617,159,7.955105,-76.671541,3.77,2011.9,22,2020,533.660477453581,31024.2572944297,35446.534040672,1376,13.9,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1376</td></tr></table>"
2618,159,7.955105,-76.671541,3.47,3255.23,22,2020,938.106628242075,34230.855907781,38187.828049952,1377,13.9,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1377</td></tr></table>"
2619,159,7.955105,-76.671541,3.81,3475.18,22,2020,912.120734908136,31032.9160104987,34324.2738407699,1378,13.9,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1378</td></tr></table>"
2620,159,7.955105,-76.671541,3.32,1076.31,22,2020,324.189759036145,30709.3795180723,33264.8664658635,1379,13.9,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1379</td></tr></table>"
2621,159,7.955105,-76.671541,5.97,7723.15,22,2020,1293.65996649916,37426.1340033501,40055.2908989391,1380,13.9,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1380</td></tr></table>"
2622,159,7.955105,-76.671541,5.58,3855.25,22,2020,690.905017921147,33502.1164874552,36870.701911589,1381,13.9,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1381</td></tr></table>"
2623,159,7.955105,-76.671541,4.15,1707.06,22,2020,411.339759036145,37229.3180722892,39654.8995983936,1382,13.9,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1382</td></tr></table>"
2624,159,7.955105,-76.671541,3.66,2067.29,22,2020,564.833333333333,37302.5737704918,41612.2194899818,1383,13.9,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1383</td></tr></table>"
2644,161,7.921753996,-76.64523639,0.934,713.36,22,2020,763.768736616702,67646.0813704497,53493.0335474661,1384,21.4,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1384</td></tr></table>"
2645,161,7.921004194,-76.64444044,3.994,5830.35,22,2020,1459.77716574862,41439.0585878818,44987.857619763,1385,20.3,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1385</td></tr></table>"
2646,161,7.920076921,-76.64450461,4.508,6266.35,22,2020,1390.05102040816,47051.5394853594,49601.6045548654,1386,20.4,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1386</td></tr></table>"
2647,161,7.918986722,-76.64463787,5.312,149.33,22,2020,28.1118222891566,34875.0357680723,37425.6438253012,1387,19.6,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1387</td></tr></table>"
2648,161,7.916935297,-76.64465501,15.078,1101.58,22,2020,73.0587611089004,10938.1814564266,12812.8390149003,1388,21,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1388</td></tr></table>"
2649,161,7.917278773,-76.64463177,4.103,775.91,22,2020,189.107969778211,36364.4114062881,44653.6916077667,1389,21,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1389</td></tr></table>"
2650,161,7.916374822,-76.64466336,3.872,677.44,22,2020,174.95867768595,39322.7453512397,47803.7190082645,1390,20.5,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1390</td></tr></table>"
2651,161,7.915512416,-76.64465862,3.2,866.46,22,2020,270.76875,41494.696875,50600.0375,1391,19.8,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1391</td></tr></table>"
2652,161,7.914629943,-76.64375658,5.389,9852.48,22,2020,1828.25756169976,40319.8663945073,46727.4398466011,1392,19.9,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1392</td></tr></table>"
2653,161,7.913745439,-76.6436501,4.842,4473.93,22,2020,923.983890954151,36019.5229244114,41606.1331405755,1393,20.8,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1393</td></tr></table>"
2655,161,7.914581907,-76.63903771,4.185,3030.05,22,2020,724.026284348865,43299.2640382318,54780.0828355237,1394,21.2,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1394</td></tr></table>"
2656,161,7.91376954,-76.63906808,12.463,2663.83,22,2020,213.739067640215,14555.4794190805,17910.7165209019,1395,22,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1395</td></tr></table>"
2786,166,7.678744442,-76.66444193,6.52,235.87,22,2020,36.1763803680982,20326.5920245399,17594.5173824131,1396,36.1,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1396</td></tr></table>"
2825,168,7.824958862,-76.73239492,3.8,632,22,2020,166.315789473684,29097.8894736842,34838.5842105263,1397,8,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1397</td></tr></table>"
2829,168,7.825886608,-76.73605488,4.21,1373.78,22,2020,326.313539192399,24878.9809976247,31765.7157561362,1398,8.5,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1398</td></tr></table>"
2830,168,7.825912701,-76.73723791,3.7,678.4,22,2020,183.351351351351,22825.2567567568,29392.3522522523,1399,9.1,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1399</td></tr></table>"
2035,135,7.83092055,-76.66115319,5.37,3847.33,23,2020,716.448789571695,25537.0111731844,28698.3265052762,1400,28.5,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1400</td></tr></table>"
2036,135,7.830625051,-76.66031664,5.51,2316.05,23,2020,420.335753176044,23297.388384755,26911.4198427102,1401,29.1,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1401</td></tr></table>"
2037,135,7.830056159,-76.65946469,5.9,1773.68,23,2020,300.623728813559,22862.6322033898,25978.9011299435,1402,30,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1402</td></tr></table>"
2038,135,7.829564879,-76.65862815,4.87,859.15,23,2020,176.416837782341,25037.3080082136,28570.7091033539,1403,30.5,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1403</td></tr></table>"
2039,135,7.829807748,-76.65773585,4.45,1457.26,23,2020,327.474157303371,23137.5011235955,26477.6891385768,1404,29.3,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1404</td></tr></table>"
2040,135,7.829902695,-76.65684231,3.53,765.34,23,2020,216.810198300283,21923.835694051,25941.0679886686,1405,29,"<table cellspacing=""0"" cellpadding=""2"" border=""1"" style=""border-collapse:collapse""><tr><td><b>id</b></td><td>1405</td></tr></table>"
